Country,Annual CO2 emissions (ppm),Year,Deforestation Rate,"Plastic waste generation (tonnes, total)",PM2.5 air pollution(micrograms per cubic meter)
Afghanistan,9.438789182,2019,0.0,112000,62.85485658
Algeria,155.7252611,2019,17.00059994727079,1898343,37.23095588
Angola,34.53720115,2019,-15.266103458641133,528843,36.24047917
Antigua and Barbuda,0.565835478,2019,-19.03066273958093,22804,15.68594257
Argentina,195.5314119,2019,-18.53823435124895,2753550,14.14816717
Australia,420.22085610000005,2019,-0.04423292704814896,900658,6.126806421
Bahamas,1.812601173,2019,0.0,51364,12.79114179
Bahrain,31.05894984,2019,209.0909092198347,59785,79.69099954
Bangladesh,85.6925313,2019,-1.923106945413533,1888170,101.0171569
Barbados,1.282712083,2019,0.0,58164,18.41481258
Belgium,99.66521218,2019,-47.13395008260625,318151,16.04343237
Belize,0.574498143,2019,-19.488634593140507,20191,20.18159894
Benin,7.149236137000001,2019,-34.12510470869603,144382,95.96032285
Bermuda,0.621674506,2019,0.0,5990,10.47401764
Bosnia and Herzegovina,21.67229998,2019,618.608696047751,195633,39.27178089
Brazil,457.1904016,2019,-15.42293571921487,11852055,12.65285893
Brunei,7.929506135,2019,-7.990314766947915,3688,6.429309073
Bulgaria,44.51117996,2019,16.65163809492658,415707,25.64668767
Cambodia,10.39620351,2019,-25.268360408809464,344698,26.14133409
Cameroon,8.137208105,2019,-9.348977779331536,335305,139.70579009999997
Canada,568.4122177,2019,-0.3753688242070785,1154309,7.5252244820000005
Cape Verde,0.628228774,2019,195.31859549004724,11919,66.64177108
Chile,85.87660507,2019,18.639096687408376,738106,21.9671149
China,10064.6857,2019,38.755616208636965,59079741,56.33014796
Colombia,97.26943071,2019,-8.648154029918443,2413455,17.11938773
Comoros,0.21841472,2019,-27.577073385695417,50599,19.14635158
Congo,3.231104846,2019,-1.591754424759717,110479,55.83271511
Costa Rica,8.058536622,2019,3.8213524051138315,428029,18.53054595
Croatia,18.60007362,2019,-42.13912375409989,406347,19.81560787
Cuba,28.61681784,2019,56.96792997621738,368154,16.6241175
Cyprus,7.490620847000001,2019,7.110669728178642,100713,17.86639632
Democratic Republic of Congo,2.036920153,2019,-15.5165233835174,1059795,56.27516385
Denmark,34.80971146,2019,18.110793316272765,95171,10.32874421
Djibouti,0.644198171,2019,2.857143211938773,31999,71.70929766
Dominica,0.18240749,2019,-4.849930426356586,3885,16.87333694
Dominican Republic,24.85729513,2019,33.928358683854064,520238,23.69819597
Ecuador,41.91537379,2019,-14.14762363866079,801321,13.1676851
Egypt,238.81571580000002,2019,4.241039592438556,5464471,126.02823149999999
El Salvador,7.13017807,2019,-18.153238349590218,330763,33.38600558
Equatorial Guinea,5.687397497999999,2019,-8.979493543142114,49990,71.17976196
Eritrea,0.740111253,2019,-88.03526011207778,72120,50.51448122
Estonia,19.55905984,2019,434.5135874181051,85534,5.928305245
Fiji,2.1250758419999998,2019,20.60786002693451,59324,7.658563742
Finland,46.98907894,2019,2.4395974902560846,458084,6.234267477
France,337.9134115,2019,18.93599335178715,4557128,11.8693378
Gabon,5.35828877,2019,-0.9222435144185304,32329,47.39460459
Gambia,0.610631759,2019,-40.094535287127705,29646,95.04387071
Georgia,10.55983426,2019,65.46958565679807,97443,20.73469811
Germany,759.0019457999999,2019,1.053097333906594,14476561,13.45779609
Ghana,18.29842548,2019,-19.745593131959605,357877,54.24258644
Greece,73.88681813,2019,18.28832114107073,811858,11.29831318
Greenland,0.511377923,2019,0.0,5234,4.0711839
Grenada,0.270590211,2019,0.0,12417,18.498453
Guatemala,18.36504369,2019,-25.972559193284418,1495229,28.522086199999997
Guinea,3.179346971,2019,-14.389774602246252,118196,46.14092124
Guinea-Bissau,0.339583121,2019,-10.964792480873687,30666,59.16484482
Guyana,2.430874679,2019,-0.9547606114516771,159681,19.74407395
Haiti,2.999204963,2019,-8.490024040399714,328487,23.54804717
Honduras,9.915482288,2019,-8.695265167158706,565317,29.49751121
Iceland,3.630610485,2019,197.08260166592135,32620,7.29839004
India,2654.1010420000002,2019,12.442678827300524,4493080,75.80079116
Indonesia,614.9164075,2019,-21.7916065624996,5045714,16.74598218
Iran,720.4144466,2019,18.332095639445733,3919268,48.95476643
Iraq,204.1749222,2019,2.6119402908513,1156524,73.25872705
Ireland,38.93111637,2019,68.21549261294548,715716,9.168633218
Israel,64.26378444,2019,9.848484856309225,826436,18.6846113
Italy,338.02673930000003,2019,25.331137364968527,2899258,15.48360452
Jamaica,8.190733408,2019,13.759208099829312,34962,15.07163593
Japan,1161.981125,2019,-0.05290580904032671,7993489,13.15839601
Jordan,24.08640993,2019,0.0,377506,37.21426017
Kenya,18.48623888,2019,-6.872703145560754,407506,16.29493079
Kiribati,0.069576172,2019,0.0,3859,4.08635963
Kuwait,98.06186698,2019,81.15941971344678,750690,110.9572166
Latvia,7.190643746,2019,-23.872080382654282,94935,14.58800713
Lebanon,24.22714324,2019,2.168933404485318,148807,32.5648296
Liberia,1.5584713369999998,2019,-10.293434556608272,121050,17.33233534
Libya,54.01567381,2019,0.0,324250,63.71676049
Lithuania,13.55446266,2019,-16.19813165373135,149227,16.71785779
Madagascar,4.281281379,2019,-9.13154832184343,123526,21.47496474
Malaysia,254.52653840000002,2019,-6.956975539415133,2031675,17.60771452
Maldives,1.522945103,2019,0.0,43134,26.86188561
Malta,1.5834148140000002,2019,25.14285714285713,32377,12.14084395
Marshall Islands,0.15074837300000002,2019,3715.322171324201,3674,11.08607034
Mauritania,2.661482711,2019,-33.14679432975824,59287,123.63458440000001
Mauritius,4.854957355,2019,-5.829072292733195,104971,14.46305346
Mexico,477.32221880000003,2019,-6.75972865818566,3725463,18.82910389
Montenegro,2.008386243,2019,575.5445781755534,32557,20.35568996
Morocco,66.30976675,2019,4.478158833668111,863555,25.41198462
Mozambique,8.286042829,2019,-14.742477747622774,132612,20.98722687
Myanmar,26.33463939,2019,-26.479557595293592,1373018,48.81135881
Namibia,4.272434613,2019,-23.48295217557258,114222,25.89244374
Netherlands,161.62396040000002,2019,6.728636373307584,2571398,15.23005009
New Zealand,34.76578437,2019,5.453577398541487,525630,5.525446595
Nicaragua,5.57139683,2019,-45.1890200798001,299480,22.70884868
Nigeria,127.2941929,2019,-17.853517037873424,5961750,122.47844199999999
North Korea,30.21855864,2019,-12.452347570431133,484700,36.01527573
Norway,44.32631608,2019,0.33135507524648666,499682,7.874067599
Oman,67.29107994,2019,-13.33333264555554,93251,77.9621781
Pakistan,223.5403992,2019,-24.455611720271975,6412210,75.75074243
Palestine,3.2095166489999998,2019,11.674008794800962,87636,18.901415
Panama,10.93820216,2019,-8.294178929350437,192818,14.12599776
Papua New Guinea,7.837881635,2019,-1.401627159892016,267234,13.67788256
Peru,55.53142533,2019,-5.1607761209439555,1543879,26.0545956
Philippines,135.06905690000002,2019,-8.036036387051816,2565766,23.213494100000002
Poland,343.5379666,2019,6.624634071881186,1346905,25.59991261
Portugal,50.92539194,2019,-2.5595763521449766,1022683,9.491198111000001
Qatar,105.6228946,2019,,103933,148.24139830000001
Romania,74.06071566,2019,8.671040632522708,310385,19.06441498
Russia,1710.688236,2019,65.42820256945818,5839685,15.5005356
Saint Lucia,0.42065400700000005,2019,-2.3507287225477014,32882,17.3478258
Saint Vincent and the Grenadines,0.22335611,2019,3.631082056407542,8818,17.37431954
Samoa,0.258977974,2019,-7.937319027501289,7000,3.857072798
Sao Tome and Principe,0.12372764300000001,2019,-10.406004781985667,6571,15.42765659
Saudi Arabia,621.3020735,2019,0.0,1561618,187.8713608
Senegal,11.71090346,2019,-12.845097793129623,485586,56.76633608
Seychelles,0.655244159,2019,0.0,11730,14.838850099999998
Sierra Leone,1.0781764090000001,2019,-18.296926462275188,96655,42.13067105
Singapore,40.86161873,2019,6.227869598886082,359483,25.02850236
Slovenia,14.43177804,2019,53.77066412842537,108421,17.82350883
Solomon Islands,0.177805773,2019,-0.8334282915291036,19842,8.515828391
Somalia,0.6989271029999999,2019,-26.87292484619498,237569,23.88828751
South Africa,467.5621324,2019,-5.818513723045982,4465798,35.91247747
South Korea,658.7877448,2019,-3.877270645902875,2025772,28.68182353
Spain,268.2338112,2019,33.5377635859446,4709157,9.960824015
Sri Lanka,23.36846295,2019,-9.962430822864532,2621606,25.63520757
Sudan,21.04612454,2019,-70.69359485918096,1292740,77.72107205
Suriname,1.7868227380000001,2019,-1.1072187352897833,31300,21.53247349
Sweden,41.02685124,2019,-0.295763113556069,164305,5.195282483
Tanzania,12.49891712,2019,-19.47378994882619,386998,22.34930727
Thailand,288.2291602,2019,2.838696334325075,3532495,23.172589600000002
Togo,3.41796502,2019,-10.974105123755805,135294,84.14439034
Tonga,0.135287002,2019,0.0,8476,3.9935939260000004
Trinidad and Tobago,43.4771408,2019,-5.556473603828616,1745123,16.81227296
Tunisia,31.57656788,2019,8.885893269087553,559235,35.56567907
Turkey,428.17958610000005,2019,11.721234074964105,5596657,37.25391764
Ukraine,225.0181753,2019,40.883408446706085,1724509,19.20606229
United Arab Emirates,205.6023265,2019,29.510204076781644,600741,105.12373590000001
United Kingdom,379.0398919,2019,14.578833742679386,4925590,11.52028708
United States,5416.277883,2019,2.4483385837900995,37825550,9.196934123
Uruguay,6.94386017,2019,151.72932321730923,310379,11.52339849
Vanuatu,0.15461371599999998,2019,0.0,25443,8.848735261
Venezuela,138.7646024,2019,-10.965055938607826,2669998,26.33118091
Vietnam,206.66089480000002,2019,54.93713709377717,3268227,26.28590641
Yemen,10.140644199999999,2019,0.0,887497,72.55386478
